WCA ID,Name,#Competitions,#Results,First Year,Last Year,Span
2011EDUA01,Eduard Esteban García Domínguez,324,860,2011,2026,15
2010ROSE03,Dennis Rosero,312,759,2010,2026,16
2009PROV01,Matteo Provasi,281,750,2009,2026,17
2013WALL03,Daniel Wallin,296,711,2013,2026,13
2012MAHV01,Paul Mahvi,242,702,2012,2026,14
2009LIUE01,Evan Liu,264,700,2009,2026,17
2010HULL01,Katie Hull,236,684,2010,2026,16
2014ZAKR01,Karol Zakrzewski,231,650,2014,2026,12
2013ROGA02,Przemysław Rogalski,299,626,2013,2026,13
2012PARK03,Max Park,203,618,2012,2026,14
