person_id,person_name,n_competitions,n_results,first_year,last_year,best_sec_mean,average_sec_mean,span
2011EDUA01,Eduard Esteban García Domínguez,324,860,2011,2026,11.57639534883721,13.501127906976743,15
2017GARR05,Luke Garrett,267,794,2017,2026,5.72028967254408,6.74088161209068,9
2010ROSE03,Dennis Rosero,312,759,2010,2026,13.25802371541502,15.138656126482212,16
2009PROV01,Matteo Provasi,281,750,2009,2026,10.940306666666666,12.641986666666666,17
2013WALL03,Daniel Wallin,296,711,2013,2026,7.516976090014064,8.844219409282701,13
2012MAHV01,Paul Mahvi,242,702,2012,2026,7.6637606837606835,8.848133903133904,14
2009LIUE01,Evan Liu,264,700,2009,2026,8.750871428571427,10.32627142857143,17
2010HULL01,Katie Hull,236,684,2010,2026,8.175614035087719,9.452573099415206,16
2014ZAKR01,Karol Zakrzewski,231,650,2014,2026,7.953507692307692,9.282599999999999,12
2013ROGA02,Przemysław Rogalski,299,626,2013,2026,10.807667731629394,12.404920127795526,13
2012PARK03,Max Park,203,618,2012,2026,5.764045307443365,6.560258899676376,14
2015KUCA01,Carter Kucala,212,611,2015,2026,7.25620294599018,8.571800327332243,11
2008BARA01,Bence Barát,213,599,2008,2026,9.609849749582638,10.995926544240401,18
2014SEBA01,Juliette Sébastien,190,593,2014,2026,6.8138279932546375,7.892563237774031,12
2012CANT02,Simone Cantarelli,208,590,2012,2026,9.802338983050848,11.237186440677965,14
2010RONK01,Niko Ronkainen,222,584,2010,2026,10.143972602739726,11.853972602739727,16
2010THOM03,Blake Thompson,200,579,2010,2026,8.057305699481866,9.499430051813471,16
2013BURL01,Łukasz Burliga,197,578,2013,2026,7.385709342560553,8.719982698961937,13
2010WEYE02,Sebastian Weyer,186,574,2010,2026,6.718257839721255,7.771149825783973,16
2003BRUC01,Ron van Bruchem,258,566,2003,2026,13.164540636042403,15.043445229681979,23
2008AURO01,Sébastien Auroux,227,563,2008,2026,13.005896980461811,15.035186500888098,18
2016KOLA02,Tymon Kolasiński,184,558,2016,2026,6.081433691756272,7.056523297491039,10
2014PETE03,Tobias Peter,211,556,2014,2026,9.434748201438849,11.004370503597123,12
2016KELL12,Simon Kellum,204,555,2016,2026,8.0470990990991,9.57963963963964,10
2013JOHN10,Brian Johnson,186,547,2013,2026,6.410292504570384,7.56709323583181,13
2014JIME05,Diego Alejandro Casas Jimenez,215,543,2014,2026,12.247476979742173,14.173149171270719,12
2012ICKL01,Finn Ickler,204,541,2012,2026,9.490739371534195,10.909242144177448,14
2010GRAC02,Fabio Bini Graciose,280,536,2010,2026,17.864197761194028,21.182164179104475,16
2009HILD01,James Hildreth,218,531,2009,2026,10.920000000000002,12.665630885122411,17
2011WELC01,Walker Welch,195,525,2011,2026,9.632895238095239,11.267390476190476,15
2017POPA01,Manuel Popayán,175,525,2017,2026,8.048514285714287,9.377219047619047,9
2016MULL04,Daniel Mullen,188,520,2016,2026,8.716884615384615,10.016038461538463,10
2010SCHM01,Leon Schmidtchen,172,519,2010,2026,7.932023121387283,9.203853564547206,16
2009ZEMD01,Feliks Zemdegs,165,517,2009,2026,6.050444874274661,7.083230174081239,17
2016ROLZ01,Alwin Rölz,181,513,2016,2026,7.543391812865497,8.835380116959065,10
2014CHIC01,Chris Chi,193,510,2014,2026,8.404254901960785,10.027843137254902,12
2010BENT01,Jan Bentlage,196,494,2010,2026,11.534615384615385,13.203886639676114,16
2011SZAT01,Wojciech Szatanowski,193,493,2011,2026,10.079127789046654,11.716004056795132,15
2013TOKA01,Piotr Tokarski,192,491,2013,2026,9.093482688391038,10.606598778004074,13
2007GOUL01,Joey Gouly,177,490,2007,2026,10.88373469387755,12.737510204081634,19
2018KHAN28,Zayn Khanani,172,490,2018,2026,7.264428571428572,8.554897959183673,8
2010WEYE01,Philipp Weyer,159,489,2010,2026,6.773783231083844,7.772740286298569,16
2005REYN01,Tim Reynolds,204,487,2005,2025,12.230492813141684,13.80599589322382,20
2014GOSL01,Raymond Goslow,187,485,2014,2026,9.987257731958762,11.35257731958763,12
2010AMBR01,Jacob Ambrose,195,484,2010,2026,10.444772727272728,12.271487603305784,16
2016PYWI01,Wilfrid Py,206,483,2016,2026,10.520641821946171,12.276190476190475,10
2011GROG02,Shane Grogan,179,482,2011,2026,8.649834024896267,10.011514522821576,15
2003DENN01,Ton Dennenbroek,249,481,2003,2026,17.818066528066527,20.22848232848233,23
2015SANC11,Nicolás Sánchez,164,477,2015,2026,6.771698113207547,7.982410901467506,11
2007VALK01,Mats Valk,156,476,2007,2025,7.878697478991597,9.230420168067228,18
