WCA ID,Name,#Competitions,#Results,First Year,Last Year,Span
2011EDUA01,Eduard Esteban García Domínguez,324,860,2011,2026,15
2017GARR05,Luke Garrett,267,794,2017,2026,9
2010ROSE03,Dennis Rosero,312,759,2010,2026,16
2009PROV01,Matteo Provasi,281,750,2009,2026,17
2013WALL03,Daniel Wallin,296,711,2013,2026,13
2012MAHV01,Paul Mahvi,242,702,2012,2026,14
2009LIUE01,Evan Liu,264,700,2009,2026,17
2010HULL01,Katie Hull,236,684,2010,2026,16
2014ZAKR01,Karol Zakrzewski,231,650,2014,2026,12
2013ROGA02,Przemysław Rogalski,299,626,2013,2026,13
2012PARK03,Max Park,203,618,2012,2026,14
2015KUCA01,Carter Kucala,212,611,2015,2026,11
2008BARA01,Bence Barát,213,599,2008,2026,18
2014SEBA01,Juliette Sébastien,190,593,2014,2026,12
2012CANT02,Simone Cantarelli,208,590,2012,2026,14
2010RONK01,Niko Ronkainen,222,584,2010,2026,16
2010THOM03,Blake Thompson,200,579,2010,2026,16
2013BURL01,Łukasz Burliga,197,578,2013,2026,13
2010WEYE02,Sebastian Weyer,186,574,2010,2026,16
2003BRUC01,Ron van Bruchem,258,566,2003,2026,23
2008AURO01,Sébastien Auroux,227,563,2008,2026,18
2016KOLA02,Tymon Kolasiński,184,558,2016,2026,10
2014PETE03,Tobias Peter,211,556,2014,2026,12
2016KELL12,Simon Kellum,204,555,2016,2026,10
2013JOHN10,Brian Johnson,186,547,2013,2026,13
2014JIME05,Diego Alejandro Casas Jimenez,215,543,2014,2026,12
2012ICKL01,Finn Ickler,204,541,2012,2026,14
2010GRAC02,Fabio Bini Graciose,280,536,2010,2026,16
2009HILD01,James Hildreth,218,531,2009,2026,17
2011WELC01,Walker Welch,195,525,2011,2026,15
2017POPA01,Manuel Popayán,175,525,2017,2026,9
2016MULL04,Daniel Mullen,188,520,2016,2026,10
2010SCHM01,Leon Schmidtchen,172,519,2010,2026,16
2009ZEMD01,Feliks Zemdegs,165,517,2009,2026,17
2016ROLZ01,Alwin Rölz,181,513,2016,2026,10
2014CHIC01,Chris Chi,193,510,2014,2026,12
2010BENT01,Jan Bentlage,196,494,2010,2026,16
2011SZAT01,Wojciech Szatanowski,193,493,2011,2026,15
2013TOKA01,Piotr Tokarski,192,491,2013,2026,13
2007GOUL01,Joey Gouly,177,490,2007,2026,19
2018KHAN28,Zayn Khanani,172,490,2018,2026,8
2010WEYE01,Philipp Weyer,159,489,2010,2026,16
2005REYN01,Tim Reynolds,204,487,2005,2025,20
2014GOSL01,Raymond Goslow,187,485,2014,2026,12
2010AMBR01,Jacob Ambrose,195,484,2010,2026,16
2016PYWI01,Wilfrid Py,206,483,2016,2026,10
2011GROG02,Shane Grogan,179,482,2011,2026,15
2003DENN01,Ton Dennenbroek,249,481,2003,2026,23
2015SANC11,Nicolás Sánchez,164,477,2015,2026,11
2007VALK01,Mats Valk,156,476,2007,2025,18
2016PILA03,Ryan Pilat,152,470,2016,2026,10
2018KHAN26,Hassan Khanani,181,468,2018,2026,8
2005AKKE01,Erik Akkersdijk,166,466,2005,2026,21
2010WUIF01,Yi-Fan Wu (吳亦凡),163,464,2010,2026,16
2012PONC02,Patrick Ponce,148,462,2012,2026,14
2006HALC01,Michał Halczuk,171,459,2008,2023,15
2014MILL04,Chris Mills,149,458,2014,2026,12
2015MILL01,Dylan Miller,148,458,2015,2026,11
2010ZHAO19,Eric Zhao,197,455,2010,2025,15
2008VARG01,Dániel Varga,191,453,2008,2026,18
2011FERA01,Joshua Feran,179,451,2011,2026,15
2010WANG53,Jiayu Wang (王佳宇),150,444,2010,2026,16
2015JAEH01,Konstantin Jaehne,189,444,2015,2026,11
2017RICH02,Braden Richards,167,442,2017,2026,9
2009ZHEN11,Ming Zheng (郑鸣),256,440,2009,2026,17
2013OLSZ02,Piotr Olszewski,187,439,2013,2026,13
2010DESJ01,Jules Desjardin,150,438,2010,2026,16
2017SIAU02,Max Siauw,145,429,2017,2025,8
2009ROTA01,Marco Rota,162,426,2009,2026,17
2015NICH04,AJ Nicholls,233,424,2015,2026,11
2008VIRO01,Philippe Virouleau,192,423,2008,2026,18
2008PIAU01,Anton Piau,151,420,2008,2026,18
2014CHER05,Clément Cherblanc,169,420,2014,2026,12
2015SANC18,Josete Sánchez,150,418,2015,2026,11
2013EGDA02,Martin Vædele Egdal,158,417,2013,2026,13
2011SAKO01,Corey Sakowski,192,414,2011,2026,15
2020DWOR01,Kacper Paweł Dworak,218,414,2020,2026,6
2008SEAR01,Anthony Brooks,137,413,2008,2026,18
2013KLEI03,Livia Kleiner,166,413,2013,2026,13
2012PATE01,Antonie Paterakis,136,411,2012,2025,13
2012ELLI01,Keaton Ellis,137,409,2012,2026,14
2017AGGA01,Sameer Aggarwal,138,405,2017,2026,9
2012BUBE01,Reto Bubendorf,145,404,2012,2026,14
2013BOBE01,Krzysztof Bober,193,404,2013,2026,13
2011CAST02,Michael Andres Castillo Lemus,134,403,2011,2026,15
2010LANE02,Mitchell Lane,154,402,2010,2026,16
2013EGDA01,Daniel Vædele Egdal,158,401,2013,2026,13
2008JEWR01,Ryan Jew,198,400,2008,2026,18
2017TSVE02,Alexey Tsvetkov,141,399,2017,2026,9
2011HOFF02,Valentin Hoffmann,141,395,2011,2026,15
2013DICK01,Matthew Dickman,216,394,2013,2026,13
2013LANG03,Mason Langenderfer,155,392,2013,2026,13
2012BRED01,Ulrik Bredland,133,391,2012,2026,14
2017WHIT01,Derek White,157,390,2017,2026,9
2007HESS01,Rowe Hessler,128,389,2007,2025,18
2010KADD01,Abdelhak Kaddour,131,389,2010,2026,16
2012BEAH01,Ciarán Beahan,130,385,2012,2026,14
2013MART03,Chris Martin,276,385,2013,2026,13
2012HALE01,Callum Hales-Jepp,136,383,2012,2026,14
2007POLK01,Adam Polkowski,144,382,2007,2026,19
2007POLI01,Lorenzo Vigani Poli,140,382,2007,2025,18
2012CALL01,Will Callan,137,381,2012,2026,14
2012SANT12,Rafael Rodriguez Santana,128,381,2012,2025,13
2010GARC02,Carlos Méndez García-Barroso,124,378,2010,2026,16
2015MACK06,Zeke Mackay,135,378,2015,2026,11
2010YIDA01,Dana Yi,126,377,2010,2026,16
2012SZEL01,Tommy Szeliga,163,377,2012,2025,13
2013WARY01,Rafał Waryszak,148,375,2013,2026,13
2014NIEL03,Calvin Nielson,178,373,2014,2026,12
2015YOSH01,Yuji Yoshida,175,372,2015,2026,11
2015HAMM01,Billie Hammill,126,368,2015,2026,11
2006ARAK01,Sinpei Araki (荒木慎平),183,366,2006,2026,20
2009OLSO01,Christopher Olson,127,363,2009,2025,16
2007OEYM01,Maria Oey,241,361,2007,2026,19
2012CHON03,Chao-Che Chung (鍾肇哲),138,361,2012,2026,14
