person_id,person_name,n_competitions,n_results,first_year,last_year,best_sec_mean,average_sec_mean,span
2013ROGA02,Przemysław Rogalski,259,579,2013,2026,3.159481865284974,4.326027633851468,13
2010ROSE03,Dennis Rosero,253,512,2010,2026,4.9523046875,6.381484375,16
2011EDUA01,Eduard Esteban García Domínguez,255,473,2012,2026,5.919830866807611,7.886849894291755,14
2013WALL03,Daniel Wallin,233,455,2013,2026,3.190351648351648,4.467516483516484,13
2010RONK01,Niko Ronkainen,210,442,2010,2026,4.54237556561086,6.22262443438914,16
2013TOKA01,Piotr Tokarski,193,423,2013,2026,2.974373522458629,4.106879432624114,13
2017GARR05,Luke Garrett,187,417,2017,2026,2.3842685851318945,3.4813189448441246,9
2013OLSZ02,Piotr Olszewski,165,393,2014,2026,2.292111959287532,3.284936386768448,12
2010GRAC02,Fabio Bini Graciose,241,392,2010,2026,7.146964285714286,9.630076530612245,16
2010BENT01,Jan Bentlage,191,365,2010,2026,4.755917808219178,6.459945205479452,16
2013WARY01,Rafał Waryszak,146,352,2013,2026,2.3604261363636363,3.2318749999999996,13
2008AURO01,Sébastien Auroux,187,349,2008,2026,5.427507163323782,7.406934097421203,18
2014PETE03,Tobias Peter,181,340,2014,2026,4.322264705882353,5.7573823529411765,12
2015WINT02,Steven Wintringham,146,336,2015,2026,2.2392857142857143,3.176011904761905,11
2016KELL12,Simon Kellum,143,335,2016,2026,1.9282089552238808,2.760238805970149,10
2008BARA01,Bence Barát,177,321,2008,2026,5.355700934579439,6.9196261682242985,18
2016ROLZ01,Alwin Rölz,155,315,2016,2026,2.4962539682539684,3.4395238095238096,10
2013BURL01,Łukasz Burliga,159,313,2013,2026,3.608626198083067,4.993993610223642,13
2009LIUE01,Evan Liu,168,311,2010,2026,3.9641800643086813,5.296430868167203,16
2011SZAT01,Wojciech Szatanowski,178,309,2011,2026,5.2196440129449835,6.875242718446601,15
2017PALA08,Harsha Paladugu,130,305,2017,2026,1.9734426229508195,2.909344262295082,9
2010DESJ01,Jules Desjardin,140,304,2010,2026,2.420296052631579,3.280328947368421,16
2014JIME05,Diego Alejandro Casas Jimenez,176,299,2015,2026,6.815418060200669,9.21113712374582,11
2015KUCA01,Carter Kucala,130,296,2016,2026,2.609391891891892,3.8152364864864863,10
2008VARG01,Dániel Varga,160,294,2008,2026,5.083843537414967,6.425952380952381,18
2014SZWU01,Mateusz Szwugier,130,287,2014,2026,2.7667595818815327,3.9345993031358883,12
2009PROV01,Matteo Provasi,190,279,2010,2026,7.098458781362007,9.951075268817204,16
2018DUBI01,Łukasz Dubicki,134,279,2018,2026,3.1394982078853046,4.270824372759856,8
2013EGDA02,Martin Vædele Egdal,134,278,2013,2026,2.4952877697841727,3.4507194244604316,13
2014MILL04,Chris Mills,116,270,2014,2026,3.0202962962962965,4.225296296296296,12
2013EGDA01,Daniel Vædele Egdal,133,268,2013,2026,2.9780597014925374,4.076791044776119,13
2013JOHN10,Brian Johnson,122,267,2014,2026,2.292621722846442,3.2511610486891387,12
2010HULL01,Katie Hull,137,264,2015,2026,4.313068181818182,5.516136363636363,11
2017RICH02,Braden Richards,124,264,2017,2026,2.89125,4.1658333333333335,9
2014CHER05,Clément Cherblanc,139,257,2014,2026,4.109182879377432,5.729027237354085,12
2015JAEH01,Konstantin Jaehne,163,257,2015,2026,5.7542023346303495,7.796070038910505,11
2020DWOR01,Kacper Paweł Dworak,164,257,2020,2026,4.447237354085603,6.2268093385214005,6
2016PYWI01,Wilfrid Py,176,256,2016,2026,7.2934765624999995,9.5500390625,10
2012CANT02,Simone Cantarelli,166,253,2012,2026,6.9891699604743085,9.064743083003952,14
2017TSVE02,Alexey Tsvetkov,118,253,2017,2026,2.3298023715415024,3.142806324110672,9
2012BUBE01,Reto Bubendorf,123,247,2012,2026,3.4825506072874495,4.761781376518219,14
2016KOLA02,Tymon Kolasiński,98,244,2016,2023,2.125860655737705,2.9747950819672133,7
2013MART03,Chris Martin,168,242,2013,2026,5.779917355371901,7.777768595041322,13
2014LAFO01,Anthony Lafourcade,114,242,2014,2026,3.035537190082645,3.99896694214876,12
2023ASTR01,Filip Åström,154,238,2023,2026,4.776470588235294,6.502394957983193,3
2011WELC01,Walker Welch,118,236,2012,2026,4.1925423728813564,5.712669491525424,14
2015EWER01,Helmer Ewert,116,236,2015,2026,2.975720338983051,4.287669491525424,11
2016PILA03,Ryan Pilat,106,232,2016,2026,2.4116810344827586,3.3871551724137934,10
2008COUR01,François Courtès,163,231,2008,2016,9.273636363636363,11.913333333333334,8
2012GOOD02,Callum James Goodyear,127,230,2012,2024,5.960521739130435,7.9212608695652165,12
2018CAST11,Raúl Cuevas Castillo,95,227,2018,2026,2.900352422907489,3.8408810572687226,8
2003BRUC01,Ron van Bruchem,178,226,2006,2026,8.247787610619469,10.769823008849558,20
2008ANDE02,Oscar Roth Andersen,107,226,2009,2026,3.049778761061947,4.174601769911504,17
2012PATE01,Antonie Paterakis,117,226,2012,2025,3.3244247787610623,4.715973451327433,13
2021ELIA01,Niklas Aasen Eliasson,94,226,2021,2026,2.7453539823008852,3.7742477876106197,5
2012SANT12,Rafael Rodriguez Santana,117,224,2012,2025,5.5487053571428575,7.4200446428571425,13
2015KAME02,Marcus Kamen,110,224,2015,2026,2.319642857142857,3.0796428571428573,11
2014ZAKR01,Karol Zakrzewski,142,224,2016,2026,4.405803571428572,5.876964285714286,10
2013KLEI03,Livia Kleiner,112,223,2013,2026,2.50067264573991,3.382017937219731,13
2010AMBR01,Jacob Ambrose,120,223,2014,2026,4.517443946188341,6.074260089686098,12
2012HALE01,Callum Hales-Jepp,112,222,2012,2025,5.242432432432432,7.2405405405405405,13
2012MAHV01,Paul Mahvi,134,221,2012,2026,4.599909502262443,6.496651583710407,14
2015ANTO04,Manuel Prieto de Antón,100,221,2015,2026,3.122081447963801,4.315701357466064,11
2016LOPE37,Rubén López de Juan,99,221,2016,2026,3.9692307692307693,5.372986425339366,10
2016MULL04,Daniel Mullen,104,220,2016,2026,3.8271363636363636,5.042772727272728,10
2018HIBS01,Jakub Hibszer,88,220,2018,2026,1.9207272727272728,2.589363636363636,8
2016HOBB01,Emmet Hobbs,92,217,2016,2026,2.3964976958525344,3.3571889400921657,10
2018KUZM02,Olaf Kuźmiński,100,216,2018,2026,2.706944444444445,3.8353703703703705,8
2014FRIT02,Oliver Fritz,91,214,2014,2026,2.831728971962617,3.9893457943925235,12
2016OSTL02,Stian Nystad Østli,86,213,2016,2026,2.2859624413145543,3.1906103286384977,10
2013BOBE01,Krzysztof Bober,165,211,2013,2026,7.05260663507109,8.394928909952606,13
2021KULA02,Maksymilian Kulas,101,211,2021,2026,2.3772511848341233,3.355118483412322,5
2012BRED01,Ulrik Bredland,111,210,2012,2026,6.490857142857142,9.046000000000001,14
2013OWCZ01,Bartłomiej Owczarek,103,210,2013,2026,3.8377619047619045,5.295857142857144,13
2014GUER06,David Stiven Benitez Guerra,105,208,2015,2026,5.397692307692308,7.1037019230769225,11
2009ROTA01,Marco Rota,123,207,2010,2026,5.067101449275363,6.938550724637681,16
2015GORN01,Dominik Górny,78,206,2015,2025,2.2500485436893203,3.028495145631068,10
2011CICH01,Mateusz Cichoracki,91,203,2011,2024,3.759753694581281,5.058226600985221,13
2014CHIC01,Chris Chi,125,203,2015,2026,4.213399014778325,6.077586206896552,11
2011FERA01,Joshua Feran,103,201,2011,2026,4.030796019900498,5.482985074626865,15
2009OHRN01,Laura Ohrndorf,117,201,2010,2023,7.358905472636817,9.825671641791045,13
2011BANS02,Shivam Bansal,84,201,2014,2026,3.6593532338308457,5.161990049751243,12
2005AKKE01,Erik Akkersdijk,130,200,2006,2025,5.41665,7.57725,19
2017PABI01,Magdalena Pabisz,79,198,2017,2026,2.2864141414141415,3.0384343434343437,9
2017CHOD02,Adam Chodyniecki,96,197,2017,2025,3.491421319796954,5.034822335025381,8
2015RODR01,Andres Rodriguez,93,196,2015,2026,2.5298979591836734,3.4084183673469384,11
2014GOSL01,Raymond Goslow,100,195,2015,2026,3.9794871794871796,5.261846153846154,11
2014DETL01,Rasmus Stub Detlefsen,96,194,2015,2026,2.781649484536082,4.047886597938144,11
2005REYN01,Tim Reynolds,138,193,2008,2025,5.865233160621762,7.852124352331606,17
2010KILD02,Wilhelm Kilders,102,193,2011,2026,4.980051813471502,6.8297927461139905,15
2013GERT01,Nicolas Gertner Kilian,102,193,2013,2026,3.99,5.650259067357513,13
2004MASA01,Jesús Masanet García,130,192,2009,2026,7.9415625,10.37125,17
2007JAKU01,Marcin Jakubowski,104,192,2007,2020,6.29015625,7.396249999999999,13
2017PITK01,Antto Pitkänen,88,190,2017,2026,3.801789473684211,5.368473684210526,9
2013ARVI02,Sachin Arvind,92,189,2013,2025,4.888253968253968,6.508888888888889,12
2017PETE04,Tripp Peters,85,189,2017,2026,2.3785185185185185,3.298783068783069,9
2015YOSH01,Yuji Yoshida,129,188,2015,2026,4.115265957446808,5.494095744680852,11
2012ZAKE02,Dušan Zakelšek,88,186,2012,2026,4.40752688172043,5.488010752688172,14
2008MORE02,Hippolyte Moreau,105,185,2010,2026,5.213297297297298,6.8251351351351355,16
2015GIME02,Laura Tarrés Gimeno,86,183,2015,2026,3.442950819672131,4.491366120218579,11
2016LAZA03,Fernando Sáez Lázaro,104,183,2017,2026,6.3273770491803285,8.664153005464481,9
2013LANG03,Mason Langenderfer,104,182,2013,2026,4.263351648351648,5.894505494505494,13
2014HOLU01,Lev Golub (Лев Голуб),82,182,2014,2026,3.335494505494505,4.629615384615385,12
2016SANC08,Joseph Daniel Blas Sanchez,105,182,2016,2026,4.921538461538462,6.361098901098901,10
2021HUGO01,Peter Hugosson-Miller,175,181,2021,2026,14.092320441988951,18.2239226519337,5
2010THOM03,Blake Thompson,106,179,2010,2025,4.688491620111732,6.553240223463687,15
2018MART18,Laura Freitas Martín,82,178,2018,2026,4.620393258426966,6.120224719101124,8
2015BARH01,Anders Barhaugen,79,177,2016,2026,4.375988700564972,6.017627118644067,10
2014KANN02,Arun Kannan,86,176,2014,2026,4.363522727272727,5.69284090909091,12
2012VERS02,Robin Verstraten,99,175,2012,2026,3.675885714285714,4.696114285714286,14
2015DEGL01,Lucas Déglise,85,175,2015,2026,3.3605714285714288,4.355428571428572,11
2011WANG33,Yi Wang (王旖),72,174,2012,2023,2.9116091954022987,3.9053448275862066,11
2013GARC08,Jesús Lindo García,113,173,2013,2026,6.888959537572254,9.145375722543353,13
2015QUAN03,Ng Jia Quan (黄佳铨),82,173,2015,2026,2.5268208092485547,3.7067052023121385,11
2016SATO01,Caio Hideaki Sato,97,173,2016,2026,3.093121387283237,4.214682080924855,10
2017LOPE31,Catalina Herrera López,141,173,2017,2026,10.301849710982658,13.748265895953756,9
2016KRAF01,Noah Kraft,91,172,2016,2026,4.241337209302325,5.542441860465116,10
2018KHAN26,Hassan Khanani,88,172,2018,2026,3.4633139534883726,4.970232558139535,8
2010OMUL02,Matic Omulec,91,171,2010,2025,4.944035087719298,6.6230994152046785,15
2016GOTT01,Benjamin Gottschalk,88,171,2016,2026,3.855906432748538,5.418771929824562,10
2017KRAS05,Lorenzo Escobar Kraskouskaya,84,170,2017,2026,4.314294117647059,6.076941176470588,9
2013GERH01,Kevin Gerhardt,82,169,2013,2026,3.210059171597633,4.501065088757396,13
2011GJER02,Ole Nikolai Gjerset,82,168,2011,2026,5.00452380952381,6.953809523809523,15
2015SALO01,Álvaro Aguilar Salobreña,89,168,2016,2026,5.00625,7.206904761904762,10
2016THOR08,Elvin Thorsen,75,168,2016,2026,2.4419642857142856,3.3385714285714285,10
2018KINN05,Urho Kinnunen,66,168,2018,2026,3.0088690476190476,4.248690476190476,8
2013BOTZ01,Alexander Botz,86,167,2013,2026,4.49245508982036,6.242215568862275,13
2016CHAP04,Stanley Chapel,77,167,2016,2026,2.858502994011976,4.089580838323354,10
2008BAOY01,Ting Sheng Bao Yang,93,166,2009,2025,5.16066265060241,6.866204819277108,16
2016JENS09,William Jensen,75,166,2016,2026,2.8406024096385543,3.942409638554217,10
2018KHAN28,Zayn Khanani,87,166,2018,2026,3.5683132530120485,4.945060240963856,8
2018PERK01,Elliott Perkins,75,164,2018,2026,2.395121951219512,3.403658536585366,8
2013KOSK01,Jonatan Kłosko,69,164,2013,2019,3.8373780487804883,5.12859756097561,6
2012MAYE01,Theo Mayer,91,163,2012,2026,4.930981595092025,6.633251533742332,14
2015CHEA01,Andrey Che,83,163,2015,2026,2.8773006134969323,3.77079754601227,11
2016IHLE01,Malte Ihlefeld,84,163,2016,2026,4.18920245398773,5.631779141104294,10
2022STOJ03,Antoni Stojek,77,163,2022,2026,2.7141104294478526,3.840306748466258,4
2010SCHM01,Leon Schmidtchen,107,162,2010,2026,7.3435802469135805,9.719753086419752,16
2008OLLE01,Alexander Olleta del Molino,97,162,2009,2022,6.793456790123456,9.68395061728395,13
2011CHAP01,José Leonardo Chaparro Prieto,80,162,2011,2024,5.1977160493827155,6.832962962962963,13
2009TIRA01,Javier Tirado Ortiz,111,161,2009,2026,6.2931677018633545,8.619068322981366,17
2014ZYCH01,Jan Zych,88,161,2014,2026,4.37527950310559,5.828260869565217,12
2016SZAN01,Szabolcs Szántai,75,161,2016,2026,3.3215527950310557,4.479130434782609,10
2022SOLO01,Aleksander Sołonczak,75,161,2022,2026,2.6067080745341613,3.6414285714285715,4
2017BACH09,Gaurav Bachani,84,160,2017,2026,5.5273125,7.26425,9
2016AREF01,Aleksander Arefiew,72,159,2016,2026,2.4748427672955975,3.461635220125786,10
2009SHEP01,Daniel Sheppard,82,158,2009,2020,4.491645569620252,5.878924050632912,11
2011FIOL01,Alberto Pérez de Rada Fiol,70,158,2011,2019,4.146835443037975,5.286139240506329,8
2017PIHE01,Remo Pihel,70,158,2018,2026,2.7949367088607597,4.031582278481013,8
2009GARC04,Pau Vela García,109,156,2009,2026,7.258910256410257,9.560897435897436,17
2014ARGA01,Hector David Martinez Argaez,80,156,2014,2026,4.63301282051282,6.4327564102564105,12
2015HAMM01,Billie Hammill,78,156,2015,2026,4.778846153846154,6.43673076923077,11
2013RIVE03,Juan David Martinez Riveros,83,155,2013,2026,5.982064516129032,8.072000000000001,13
2015SHAH09,Krish Shah-Nathwani,77,155,2015,2025,2.5968387096774195,3.5549032258064517,10
2022LARR02,Aratz Larruzea,63,155,2022,2026,2.123225806451613,2.819225806451613,4
2011SAKO01,Corey Sakowski,102,154,2011,2025,4.752207792207792,6.377532467532467,14
2013KRAS02,Michał Krasowski,80,154,2013,2026,3.5627922077922074,5.051103896103896,13
2015MACK06,Zeke Mackay,75,154,2015,2026,2.8791558441558442,4.008701298701299,11
2017ZHAD01,Damir Zhanataev,79,154,2017,2026,3.8256493506493503,5.064350649350649,9
2010LANE02,Mitchell Lane,86,153,2011,2026,4.02,5.539803921568628,15
2012BEAH01,Ciarán Beahan,77,153,2012,2026,3.964640522875817,5.410653594771242,14
2015SANC18,Josete Sánchez,82,153,2015,2026,4.905032679738563,6.611045751633987,11
2015UGAR01,Rodrigo Ugarte,81,153,2015,2025,4.552549019607843,6.056797385620914,10
2015SOAR01,Nikhil Soares,64,153,2015,2025,3.544640522875817,4.872941176470587,10
2021SPIE01,Achim Spies,92,153,2021,2026,4.802483660130719,6.245555555555556,5
2007OEYM01,Maria Oey,150,152,2009,2026,14.982697368421052,20.14486842105263,17
2017LIND01,Leo Lindqvist,77,152,2017,2026,4.118157894736842,5.63828947368421,9
2009YAUR01,Robert Yau,77,151,2010,2023,4.829006622516556,6.654437086092716,13
2016HOUG01,Levin Houghton,88,151,2016,2026,4.4880132450331125,6.1892715231788085,10
2017REDO02,Raúl Martínez Redondo,67,151,2017,2026,4.15635761589404,5.627483443708609,9
2008PRYK01,Owidiusz Pryk,68,150,2008,2024,4.140733333333333,5.2984,16
2012CHON03,Chao-Che Chung (鍾肇哲),91,150,2013,2026,5.318666666666666,7.298333333333333,13
2016CHAR01,Jonathan Charlesworth,74,150,2016,2026,4.0248,5.775266666666666,10
2017WHIT01,Derek White,98,150,2017,2026,4.914000000000001,6.5336,9
2018ALFO01,Diego Alfonso,72,150,2018,2026,2.1420666666666666,2.9122,8
2018PATT04,Phoenix Patterson,65,150,2018,2026,2.900533333333333,4.241133333333333,8
2014GERB01,Henri Gerber,72,149,2014,2026,3.53758389261745,4.944630872483222,12
