person_id,person_name,n_competitions,n_results,first_year,last_year,best_sec_mean,average_sec_mean,span
2013ROGA02,Przemysław Rogalski,259,579,2013,2026,3.159481865284974,4.326027633851468,13
2010ROSE03,Dennis Rosero,253,512,2010,2026,4.9523046875,6.381484375,16
2011EDUA01,Eduard Esteban García Domínguez,255,473,2012,2026,5.919830866807611,7.886849894291755,14
2013WALL03,Daniel Wallin,233,455,2013,2026,3.190351648351648,4.467516483516484,13
2010RONK01,Niko Ronkainen,210,442,2010,2026,4.54237556561086,6.22262443438914,16
2013TOKA01,Piotr Tokarski,193,423,2013,2026,2.974373522458629,4.106879432624114,13
2017GARR05,Luke Garrett,187,417,2017,2026,2.3842685851318945,3.4813189448441246,9
2013OLSZ02,Piotr Olszewski,165,393,2014,2026,2.292111959287532,3.284936386768448,12
2010GRAC02,Fabio Bini Graciose,241,392,2010,2026,7.146964285714286,9.630076530612245,16
2010BENT01,Jan Bentlage,191,365,2010,2026,4.755917808219178,6.459945205479452,16
2013WARY01,Rafał Waryszak,146,352,2013,2026,2.3604261363636363,3.2318749999999996,13
2008AURO01,Sébastien Auroux,187,349,2008,2026,5.427507163323782,7.406934097421203,18
2014PETE03,Tobias Peter,181,340,2014,2026,4.322264705882353,5.7573823529411765,12
2015WINT02,Steven Wintringham,146,336,2015,2026,2.2392857142857143,3.176011904761905,11
2016KELL12,Simon Kellum,143,335,2016,2026,1.9282089552238808,2.760238805970149,10
2008BARA01,Bence Barát,177,321,2008,2026,5.355700934579439,6.9196261682242985,18
2016ROLZ01,Alwin Rölz,155,315,2016,2026,2.4962539682539684,3.4395238095238096,10
2013BURL01,Łukasz Burliga,159,313,2013,2026,3.608626198083067,4.993993610223642,13
2009LIUE01,Evan Liu,168,311,2010,2026,3.9641800643086813,5.296430868167203,16
2011SZAT01,Wojciech Szatanowski,178,309,2011,2026,5.2196440129449835,6.875242718446601,15
2017PALA08,Harsha Paladugu,130,305,2017,2026,1.9734426229508195,2.909344262295082,9
2010DESJ01,Jules Desjardin,140,304,2010,2026,2.420296052631579,3.280328947368421,16
2014JIME05,Diego Alejandro Casas Jimenez,176,299,2015,2026,6.815418060200669,9.21113712374582,11
2015KUCA01,Carter Kucala,130,296,2016,2026,2.609391891891892,3.8152364864864863,10
2008VARG01,Dániel Varga,160,294,2008,2026,5.083843537414967,6.425952380952381,18
