person_id,person_name,n_competitions,n_results,first_year,last_year,best_sec_mean,average_sec_mean,span
2010RONK01,Niko Ronkainen,196,437,2014,2026,3.6914874141876433,4.972631578947368,12
2013WALL03,Daniel Wallin,214,430,2014,2026,3.1659302325581393,4.4402325581395345,12
2013BURL01,Łukasz Burliga,160,383,2014,2026,2.394934725848564,3.270496083550914,12
2013ROGA02,Przemysław Rogalski,222,347,2014,2026,4.919567723342939,6.6296253602305475,12
2015KUCA01,Carter Kucala,148,340,2016,2026,1.9520294117647061,2.927117647058824,10
2011EDUA01,Eduard Esteban García Domínguez,203,339,2014,2026,6.236607669616519,8.921297935103246,12
2010ROSE03,Dennis Rosero,186,318,2014,2026,6.683270440251573,9.047672955974843,12
2017GARR05,Luke Garrett,144,298,2017,2026,3.1994966442953023,4.519563758389261,9
2013EGDA01,Daniel Vædele Egdal,143,292,2015,2026,2.4476712328767123,3.2333904109589042,11
2013EGDA02,Martin Vædele Egdal,143,291,2015,2026,2.768109965635739,3.7662886597938146,11
2016LAZA03,Fernando Sáez Lázaro,116,287,2016,2026,3.1658885017421605,4.2995818815331015,10
2016KELL12,Simon Kellum,123,279,2016,2026,2.1912903225806453,3.1749462365591397,10
2014PETE03,Tobias Peter,147,267,2015,2026,4.736741573033708,6.269176029962546,11
2016ROLZ01,Alwin Rölz,139,267,2016,2026,3.925318352059925,5.485318352059925,10
2009LIUE01,Evan Liu,152,265,2014,2026,4.162905660377358,5.765169811320755,12
2014LAFO01,Anthony Lafourcade,122,265,2014,2026,2.398641509433962,3.187320754716981,12
2015ANTO04,Manuel Prieto de Antón,102,255,2015,2026,2.5700000000000003,3.6925882352941177,11
2015SANC18,Josete Sánchez,120,255,2016,2026,4.355254901960784,5.90443137254902,10
2010BENT01,Jan Bentlage,133,254,2014,2026,4.521614173228347,6.242283464566929,12
2014ZAKR01,Karol Zakrzewski,153,247,2016,2026,4.465425101214575,6.016558704453441,10
2013JOHN10,Brian Johnson,112,240,2014,2026,2.6391666666666667,3.5362916666666666,12
2011WELC01,Walker Welch,119,236,2014,2026,4.129618644067797,5.8871186440677965,12
2010GARC02,Carlos Méndez García-Barroso,98,236,2014,2026,2.8333050847457626,3.942627118644068,12
2013TOKA01,Piotr Tokarski,119,232,2014,2026,4.175,5.958836206896552,12
2008BARA01,Bence Barát,130,231,2014,2026,5.608917748917749,7.569696969696969,12
