person_id,person_name,delta_aic,delta_bic,winner,winner_bic,delta_aic_abs
2009PROV01,Matteo Provasi,131.97425709855918,131.97425709855918,power_law,power_law,131.97425709855918
2009LIUE01,Evan Liu,122.56346605984227,122.56346605984227,power_law,power_law,122.56346605984227
2017GARR05,Luke Garrett,-74.16746228973261,-74.16746228973261,exponential,exponential,74.16746228973261
2013BURL01,Łukasz Burliga,70.27727617754607,70.27727617754607,power_law,power_law,70.27727617754607
2017TSVE02,Alexey Tsvetkov,-60.77749598715218,-60.77749598715218,exponential,exponential,60.77749598715218
2008VIRO01,Philippe Virouleau,60.43611061574751,60.43611061574751,power_law,power_law,60.43611061574751
2011EDUA01,Eduard Esteban García Domínguez,59.14240007230242,59.14240007230242,power_law,power_law,59.14240007230242
2010GRAC02,Fabio Bini Graciose,55.851434652518236,55.85143465251821,power_law,power_law,55.851434652518236
2012CANT02,Simone Cantarelli,53.64743718173446,53.64743718173446,power_law,power_law,53.64743718173446
2011WELC01,Walker Welch,41.0270837320673,41.0270837320673,power_law,power_law,41.0270837320673
2010BENT01,Jan Bentlage,33.037741283164976,33.03774128316496,power_law,power_law,33.037741283164976
2014PETE03,Tobias Peter,32.65871391830456,32.65871391830456,power_law,power_law,32.65871391830456
2008AURO01,Sébastien Auroux,29.672710421017968,29.67271042101794,power_law,power_law,29.672710421017968
2013WALL03,Daniel Wallin,28.15518679807718,28.15518679807718,power_law,power_law,28.15518679807718
2010ROSE03,Dennis Rosero,24.23444328408678,24.23444328408678,power_law,power_law,24.23444328408678
2014SEBA01,Juliette Sébastien,-21.06688760832867,-21.06688760832867,exponential,exponential,21.06688760832867
2013TOKA01,Piotr Tokarski,-14.930341275359865,-14.930341275359865,exponential,exponential,14.930341275359865
2015SANC18,Josete Sánchez,-12.228440510866449,-12.228440510866449,exponential,exponential,12.228440510866449
2011SZAT01,Wojciech Szatanowski,-11.151835192287876,-11.151835192287876,exponential,exponential,11.151835192287876
2008VARG01,Dániel Varga,-7.18949606749581,-7.18949606749581,exponential,exponential,7.18949606749581
2013ROGA02,Przemysław Rogalski,6.984754685057084,6.984754685057084,power_law,power_law,6.984754685057084
2008BARA01,Bence Barát,-4.946166472638879,-4.946166472638879,exponential,exponential,4.946166472638879
2015KUCA01,Carter Kucala,-2.968950641676372,-2.968950641676372,exponential,exponential,2.968950641676372
2014ZAKR01,Karol Zakrzewski,1.4110480195281525,1.4110480195281525,power_law,power_law,1.4110480195281525
2010RONK01,Niko Ronkainen,1.0331040492124544,1.0331040492124544,power_law,power_law,1.0331040492124544
