person_id,person_name,model,analysis_model,n_obs,hurst,intercept,dfa_r2,noise_type
2008AURO01,Sébastien Auroux,power_law,power_law,349,0.8481440283011542,-1.7908783801784747,0.95360659975173,persistent
2013TOKA01,Piotr Tokarski,exponential,exponential,421,0.7264688720298456,-2.363446491985461,0.9848214741394734,persistent
2010GRAC02,Fabio Bini Graciose,exponential,exponential,392,0.693859096763274,-1.6004169876798389,0.9707980743805816,persistent
2017PALA08,Harsha Paladugu,exponential,exponential,299,0.6715601189709395,-2.2928785798244125,0.9958578472298815,persistent
2008BARA01,Bence Barát,power_law,power_law,320,0.668620567583139,-2.077090207960171,0.9726104900865222,persistent
2008VARG01,Dániel Varga,power_law,power_law,291,0.6406988384401769,-2.003552011230527,0.9588317634311581,persistent
2013OLSZ02,Piotr Olszewski,power_law,power_law,388,0.6376011398131781,-2.2224197783899124,0.9896526743740781,persistent
2017GARR05,Luke Garrett,exponential,exponential,416,0.6134185711516715,-2.085294437436322,0.9871779052615548,persistent
2015KUCA01,Carter Kucala,exponential,exponential,295,0.6124977847564133,-2.0864902695628005,0.9693555312551136,persistent
2009LIUE01,Evan Liu,exponential,exponential,310,0.5942279407811356,-1.8144761460221694,0.9851986106908175,persistent
2011EDUA01,Eduard Esteban García Domínguez,power_law,power_law,469,0.5864395880570686,-1.483906420023423,0.979217386491548,persistent
2014JIME05,Diego Alejandro Casas Jimenez,power_law,power_law,299,0.5845359022248543,-1.205917058309648,0.9808333517609439,persistent
2013WARY01,Rafał Waryszak,power_law,power_law,350,0.5768886363955191,-2.331061278934523,0.9811054770670746,persistent
2014PETE03,Tobias Peter,power_law,power_law,339,0.5726754057879562,-1.7585335360633247,0.9777162176055034,persistent
2010ROSE03,Dennis Rosero,power_law,power_law,511,0.5690646054590314,-1.7780128075763382,0.9931317834406512,persistent
2010BENT01,Jan Bentlage,power_law,power_law,365,0.5684301663058995,-1.719864173937974,0.9860062767284766,persistent
2013ROGA02,Przemysław Rogalski,power_law,power_law,579,0.5651551587736248,-2.0319845555652365,0.9889460458772558,persistent
2013BURL01,Łukasz Burliga,power_law,power_law,308,0.5617504862924041,-1.5680853265436863,0.9838696038550259,persistent
2015WINT02,Steven Wintringham,power_law,power_law,335,0.5500553959542375,-2.0094995548841537,0.9796370420501437,persistent
2016KELL12,Simon Kellum,exponential,exponential,333,0.5459349121336413,-2.0843806984040096,0.9890973071226216,uncorrelated
2010RONK01,Niko Ronkainen,power_law,power_law,442,0.5324061750326209,-1.566784861336659,0.9625622113093283,uncorrelated
2013WALL03,Daniel Wallin,exponential,exponential,449,0.5160094847451502,-1.3460121053884988,0.97016444286101,uncorrelated
2016ROLZ01,Alwin Rölz,exponential,exponential,312,0.5037183062992133,-1.9313611355548574,0.9862705200233983,uncorrelated
2011SZAT01,Wojciech Szatanowski,power_law,power_law,303,0.5006229733081186,-1.4086991139595375,0.9883707866382521,uncorrelated
2010DESJ01,Jules Desjardin,power_law,power_law,301,0.4952440227866475,-1.995288721983008,0.9583102602376631,uncorrelated
